num_vertices,rec_param,λ,alg_sol_cost,hurwicz_sol_cost,experiment_num,alg_eval_cost,hurwicz_eval_cost
101,41,0.1,19950.269966564607,19797.04296990815,9,19158.478793808685,19158.478793808685
101,41,0.1,19950.269966564607,19797.04296990815,10,19251.460603964217,19251.460603964213
101,41,0.25,19950.269966564607,19567.202474923455,1,19231.399699902606,19231.399699902606
101,41,0.25,19950.269966564607,19567.202474923455,2,19218.03885359151,19218.03885359151
101,41,0.25,19950.269966564607,19567.202474923455,3,19200.00532254367,19200.00532254367
101,41,0.25,19950.269966564607,19567.202474923455,4,19243.9409599532,19243.9409599532
101,41,0.25,19950.269966564607,19567.202474923455,5,19210.51493194113,19210.51493194113
101,41,0.25,19950.269966564607,19567.202474923455,6,19296.2392970591,19296.239297059103
101,41,0.25,19950.269966564607,19567.202474923455,7,19125.503705225412,19125.503705225412
101,41,0.25,19950.269966564607,19567.202474923455,8,19185.112494600067,19185.112494600067
101,41,0.25,19950.269966564607,19567.202474923455,9,19144.334119853946,19144.33411985395
101,41,0.25,19950.269966564607,19567.202474923455,10,19283.808546224634,19283.808546224634
101,41,0.5,19950.269966564607,19184.134983282303,1,19221.69621794446,19221.69621794446
101,41,0.5,19950.269966564607,19184.134983282303,2,19194.27804323935,19194.27804323935
101,41,0.5,19950.269966564607,19184.134983282303,3,19158.26173089736,19158.26173089736
101,41,0.5,19950.269966564607,19184.134983282303,4,19229.908706154773,19229.908706154773
101,41,0.5,19950.269966564607,19184.134983282303,5,19096.044836920264,19096.044836920264
101,41,0.5,19950.269966564607,19184.134983282303,6,19128.573901324948,19128.573901324948
101,41,0.5,19950.269966564607,19184.134983282303,7,19222.774164144404,19222.774164144404
101,41,0.5,19950.269966564607,19184.134983282303,8,19283.746453285938,19283.74645328594
101,41,0.5,19950.269966564607,19184.134983282303,9,19280.433591097048,19280.433591097048
101,41,0.5,19950.269966564607,19184.134983282303,10,19219.70037618795,19219.70037618795
101,82,0.1,19950.269966564607,19797.04296990815,1,19206.34428149904,19206.34428149904
101,82,0.1,19950.269966564607,19797.04296990815,2,19179.368522016277,19179.368522016277
101,82,0.1,19950.269966564607,19797.04296990815,3,19190.89887384254,19190.89887384254
101,82,0.1,19950.269966564607,19797.04296990815,4,19233.408525108804,19233.408525108804
101,82,0.1,19950.269966564607,19797.04296990815,5,19240.336038579935,19240.33603857993
101,82,0.1,19950.269966564607,19797.04296990815,6,19251.03120729757,19251.03120729757
101,82,0.1,19950.269966564607,19797.04296990815,7,19190.20661718506,19190.20661718506
101,82,0.1,19950.269966564607,19797.04296990815,8,19173.48923072828,19173.48923072828
101,82,0.1,19950.269966564607,19797.04296990815,9,19259.43592009373,19259.43592009373
101,82,0.1,19950.269966564607,19797.04296990815,10,19176.537756953832,19176.537756953832
101,82,0.25,19950.269966564607,19567.202474923455,1,19243.641429853866,19243.641429853866
101,82,0.25,19950.269966564607,19567.202474923455,2,19321.13627502122,19321.13627502122
101,82,0.25,19950.269966564607,19567.202474923455,3,19196.462360348378,19196.462360348378
101,82,0.25,19950.269966564607,19567.202474923455,4,19284.29151897623,19284.29151897623
101,82,0.25,19950.269966564607,19567.202474923455,5,19194.776378062503,19194.776378062503
101,82,0.25,19950.269966564607,19567.202474923455,6,19248.976167830686,19248.97616783069
101,82,0.25,19950.269966564607,19567.202474923455,7,19100.38490265071,19100.38490265071
101,82,0.25,19950.269966564607,19567.202474923455,8,19183.84968009704,19183.84968009704
101,82,0.25,19950.269966564607,19567.202474923455,9,19271.88568228939,19271.88568228939
101,82,0.25,19950.269966564607,19567.202474923455,10,19155.149346031045,19155.149346031045
101,82,0.5,19950.269966564607,19184.134983282303,1,19203.390297905666,19203.390297905666
101,82,0.5,19950.269966564607,19184.134983282303,2,19222.487160599485,19222.487160599485
101,82,0.5,19950.269966564607,19184.134983282303,3,19144.071813714596,19144.0718137146
101,82,0.5,19950.269966564607,19184.134983282303,4,19196.434044334103,19196.4340443341
101,82,0.5,19950.269966564607,19184.134983282303,5,19248.164529734233,19248.164529734233
101,82,0.5,19950.269966564607,19184.134983282303,6,19199.67842062169,19199.67842062169
101,82,0.5,19950.269966564607,19184.134983282303,7,19268.542525310935,19268.542525310935
101,82,0.5,19950.269966564607,19184.134983282303,8,19322.282672204754,19322.282672204754
101,82,0.5,19950.269966564607,19184.134983282303,9,19253.93459355483,19253.93459355483
101,82,0.5,19950.269966564607,19184.134983282303,10,19160.685384087952,19160.685384087952
