num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
285,82,802526.4724018357,827347.5075784368,8,756804.8049743569,781204.8325322327
285,82,802526.4724018357,827347.5075784368,9,756449.0233869136,780292.8402010232
285,82,802526.4724018357,827347.5075784368,10,757820.9000021096,781769.3608516094
285,82,802526.4724018357,827347.5075784368,11,758475.1399303359,782251.7518027051
285,82,802526.4724018357,827347.5075784368,12,759554.2478502991,784278.4387502907
285,82,802526.4724018357,827347.5075784368,13,756766.7199618411,781452.9257762099
285,82,802526.4724018357,827347.5075784368,14,752158.6279150662,778506.6313863428
285,82,802526.4724018357,827347.5075784368,15,754625.2683749357,779686.5740196349
285,82,802526.4724018357,827347.5075784368,16,757762.511521663,782958.0950371447
285,82,802526.4724018357,827347.5075784368,17,753809.2362810073,778124.4618852917
285,82,802526.4724018357,827347.5075784368,18,758154.1721381254,782455.1619886658
285,82,802526.4724018357,827347.5075784368,19,754658.0513810298,779778.6107348498
285,82,802526.4724018357,827347.5075784368,20,758898.7655426239,782599.5827643044
285,82,802526.4724018357,827347.5075784368,21,755888.9297636225,779820.6566235002
285,82,802526.4724018357,827347.5075784368,22,762256.5915609708,785747.4103530386
285,82,802526.4724018357,827347.5075784368,23,758319.7793506596,781397.1951041161
285,82,802526.4724018357,827347.5075784368,24,754329.9861565335,777024.9020881392
285,82,802526.4724018357,827347.5075784368,25,755685.235844927,781073.0858309845
285,164,802526.4724018357,827347.5075784368,1,752431.9527578116,777071.2620923227
285,164,802526.4724018357,827347.5075784368,2,758601.2214227419,784084.5995889636
285,164,802526.4724018357,827347.5075784368,3,758528.6984509067,781470.2148228181
285,164,802526.4724018357,827347.5075784368,4,753681.2694257102,777587.3298831614
285,164,802526.4724018357,827347.5075784368,5,753892.8433155463,778921.3236071017
285,164,802526.4724018357,827347.5075784368,6,758056.6641853247,780755.3336672153
285,164,802526.4724018357,827347.5075784368,7,755499.5317963635,780595.333060835
285,164,802526.4724018357,827347.5075784368,8,755719.2008474838,779735.3472867813
285,164,802526.4724018357,827347.5075784368,9,756041.440083107,782817.1560839516
285,164,802526.4724018357,827347.5075784368,10,754034.9262938893,779964.0714282208
285,164,802526.4724018357,827347.5075784368,11,754564.1309376913,778463.7255283318
285,164,802526.4724018357,827347.5075784368,12,754399.2662854234,778880.6051250071
285,164,802526.4724018357,827347.5075784368,13,756873.6305119655,780587.0078212463
285,164,802526.4724018357,827347.5075784368,14,758399.2160866216,783754.5235459149
285,164,802526.4724018357,827347.5075784368,15,754389.2454599713,778206.2553652009
285,164,802526.4724018357,827347.5075784368,16,758300.394743774,782515.3768244564
285,164,802526.4724018357,827347.5075784368,17,758837.6832965696,783977.6283854976
285,164,802526.4724018357,827347.5075784368,18,755468.2262798107,781292.2734752496
285,164,802526.4724018357,827347.5075784368,19,755455.6552235379,779752.1900321464
285,164,802526.4724018357,827347.5075784368,20,754135.0879172959,776409.1090834454
285,164,802526.4724018357,827347.5075784368,21,753016.5573662176,776942.2935165461
285,164,802526.4724018357,827347.5075784368,22,754156.3653482248,777783.5024501727
285,164,802526.4724018357,827347.5075784368,23,756664.602009844,780016.3685654919
285,164,802526.4724018357,827347.5075784368,24,756561.0282881408,781545.600340484
285,164,802526.4724018357,827347.5075784368,25,755463.2729303949,780652.9921672995
